year,raw,predicted,fit_resid,Hybrib_pred
1900-01-01,0.041,0.0,0.000838402,0.0008384020184166729
1901-01-01,0.045,0.061500000000128154,-0.0009215169,0.06057848308807016
1902-01-01,0.049,0.04900000000339243,6.782027e-05,0.04906782027388
1903-01-01,0.05,0.053000000001599,0.00036971207,0.05336971207169528
1904-01-01,0.056,0.05281788918285537,0.000838402,0.05365629120127204
1905-01-01,0.056,0.05990048917198194,-0.0011667993,0.05873368983344746
1906-01-01,0.065,0.05866823920705506,-0.0004928039,0.05817543528000974
1907-01-01,0.072,0.06959538533755773,-0.0004925679,0.06910281744257742
1908-01-01,0.081,0.07731369754115557,-0.00028931053,0.07702438701458712
1909-01-01,0.078,0.08740461432495,-0.00034915592,0.08705545840672063
1910-01-01,0.076,0.08163443828234243,-9.043881e-05,0.08154399947525029
1911-01-01,0.08,0.07797866799316522,-0.000416935,0.07756173297909241
1912-01-01,0.092,0.08257197422793594,-0.00063278194,0.08193919228509527
1913-01-01,0.101,0.09733769344894956,-0.00090485386,0.0964328395857736
1914-01-01,0.102,0.10741172032189991,-0.00043148902,0.10698023129712295
1915-01-01,0.106,0.10682488298413244,-4.2684318e-05,0.10678219866610032
1916-01-01,0.107,0.11058302649572407,-1.9126861e-05,0.11056389963478988
1917-01-01,0.112,0.11053251793471452,-0.0004723377,0.11006018022870001
1918-01-01,0.125,0.11596276158951167,-0.0007393159,0.1152234457155684
1919-01-01,0.136,0.13161231978149596,-0.0004904931,0.1311218266985889
1920-01-01,0.11,0.1438986933508257,-0.00036213765,0.14353655569812493
1921-01-01,0.118,0.10796020530085633,-0.00024842378,0.10771178152333567
1922-01-01,0.115,0.1189036952346932,-0.00042182696,0.11848186827417424
1923-01-01,0.117,0.11475920095244793,-0.0010885282,0.11367067275705187
1924-01-01,0.124,0.11741616353364327,-0.0016289069,0.11578725660191515
1925-01-01,0.121,0.12634642774177515,-3.8070284e-05,0.12630835745771216
1926-01-01,0.12,0.12177894984890114,-0.00045738777,0.12132156208210032
1927-01-01,0.124,0.12025739327031015,-0.00024549622,0.12001189704709514
1928-01-01,0.118,0.12535465925684394,-0.00031427658,0.1250403826787063
1929-01-01,0.121,0.11719840346297127,-0.0006979685,0.11650043493529659
1930-01-01,0.122,0.12131296421591253,-0.00049851433,0.12081444988450096
1931-01-01,0.11,0.12251439093580549,-0.00042006435,0.12209432659057048
1932-01-01,0.101,0.1068453932270391,-0.00070443656,0.10614095666408373
1933-01-01,0.098,0.09613162749390364,-0.0004991082,0.09563251926972777
1934-01-01,0.108,0.09367940121131055,-0.00085624284,0.09282315837020091
1935-01-01,0.111,0.107877947062514,-0.0010145705,0.10686337658975201
1936-01-01,0.108,0.11179327767133407,-0.0003658266,0.11142745107901908
1937-01-01,0.118,0.10768115586243171,9.618211e-05,0.10777733797577044
1938-01-01,0.13,0.12070645814778169,0.00027368535,0.12098014349716602
1939-01-01,0.126,0.13543115996803198,-0.00017685296,0.13525430700614624
1940-01-01,0.133,0.1286661109543629,-0.00019562889,0.12847048206371162
1941-01-01,0.136,0.13693673044036564,0.000150279,0.13708700943680902
1942-01-01,0.136,0.13966209767101528,-0.00024476912,0.13941732854879657
1943-01-01,0.12,0.13858843551413072,-0.00074764935,0.1378407861657898
1944-01-01,0.123,0.1171386355469773,-0.00045698803,0.1166816475212878
1945-01-01,0.138,0.12185708376061392,-0.00085568323,0.12100140052795631
1946-01-01,0.137,0.14158990080292433,-0.0009294887,0.1406604121188736
1947-01-01,0.141,0.1392442232053665,-0.0008104565,0.13843376668495438
1948-01-01,0.142,0.14375898585499605,0.00022630396,0.14398528981915085
1949-01-01,0.15,0.14424328236572212,0.0001411423,0.14438442466570298
1950-01-01,0.163,0.15393104998609822,-0.0005699709,0.15336107905703436
1951-01-01,0.168,0.16958990545837854,-0.0002541114,0.16933579406479088
1952-01-01,0.174,0.17412377334584755,-0.00019622277,0.1739275505769839
1953-01-01,0.174,0.18008748519369933,5.1914798e-05,0.18013939999164963
1954-01-01,0.18,0.1783027423850079,-0.00013369348,0.17816904890484223
1955-01-01,0.192,0.1848003482479329,-0.0005963303,0.18420401792141672
