year,India,Andaman and Nicobar,Andhra Pradesh,Assam,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Karnataka,Kerala,Lakshadweep,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,West Bengal,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Arunachal Pradesh,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Jharkhand,Madhya Pradesh,Puducherry,Uttar Pradesh,Uttarakhand
1901,24.26,27.81,27.04,22.77,25.27,26.26,26.66,25.09,9.8,25.44,25.89,27.12,26.17,19.2,21.37,21.11,18.69,25.41,24.5,25.88,4.12,26.93,24.33,25.35,-1.68,0.59,6.98,9.33,8.87,6.76,10.11,21.41,17.15,12.05,18.15,25.03,23.56,25.4,25.87,26.08,24.59,25.4,27.78,25.47,13.88
1902,24.52,27.84,27.36,22.5,25.52,26.64,27.19,25.34,10.01,25.75,25.92,27.04,26.74,18.92,21.18,20.9,18.34,25.6,24.74,26.22,4,26.93,24.15,25.3,-1.56,0.72,7.13,9.5,9.05,6.92,10.32,21.56,17.31,12.21,17.68,25.07,23.81,25.72,26.48,26.67,24.66,25.82,27.81,25.67,14.11
1903,23.96,27.63,26.77,22.73,24.9,25.96,26.2,24.68,9.4,25.18,25.72,27.01,25.86,19.17,21.36,21.09,18.63,25.25,24.06,25.37,4.06,26.75,24.32,25.29,-2.27,-0.05,6.21,8.72,8.23,6.19,9.48,20.85,16.63,11.36,18.01,24.91,23.19,25.18,25.52,25.68,24.45,25.03,27.58,25.16,13.58
1904,24.02,27.29,26.83,22.51,24.95,26.07,26.59,24.77,9.57,25.22,25.46,26.62,26.08,18.96,21.14,20.87,18.42,25.16,24.26,25.62,3.83,26.48,24.09,25.08,-1.82,0.45,6.82,9.17,8.71,6.59,9.96,21.25,16.95,11.89,17.83,24.7,23.28,25.15,25.86,26.07,24.28,25.13,27.37,25.11,13.59
1905,23.87,27.8,26.96,22.11,24.65,26.13,26.25,24.43,9.03,25.38,25.83,27.07,25.99,18.57,20.72,20.49,18.02,25.03,23.77,25.37,3.41,26.88,23.69,24.75,-2.5,-0.25,6.13,8.53,8.08,5.94,9.36,20.65,16.37,11.26,17.46,24.41,22.81,25.1,25.62,25.72,24.06,25.02,27.72,24.9,13.22
1906,24.11,27.92,27.15,22.64,24.87,26.28,26.31,24.69,9.52,25.51,25.93,27.14,26.13,19.12,21.27,21.05,18.55,25.4,24.17,25.42,4,26.99,24.25,25.26,-1.8,0.49,6.88,9.2,8.74,6.56,9.99,21.18,16.9,11.9,17.96,24.86,23.22,25.36,25.72,25.81,24.47,25.15,27.85,25.16,13.58
1907,23.97,27.31,26.92,22.52,24.66,26.18,26.42,24.48,9.25,25.34,25.65,26.82,26.11,18.97,21.14,20.91,18.42,25.21,23.9,25.33,3.85,26.68,24.13,25.13,-2.22,0.02,6.22,8.72,8.25,6.14,9.52,20.8,16.55,11.38,17.82,24.74,22.98,25.21,25.81,25.96,24.34,25.11,27.56,25.02,13.37
1908,24.01,27.24,26.85,22.86,24.84,26.02,26.1,24.62,9.53,25.22,25.58,26.77,25.96,19.27,21.47,21.17,18.75,25.36,24.09,25.23,4.24,26.61,24.39,25.41,-1.86,0.38,6.72,9.14,8.68,6.52,9.94,21.14,16.88,11.81,18.18,25.08,23.2,25.29,25.55,25.62,24.59,25.07,27.48,25.26,13.63
1909,23.92,27.25,26.92,22.97,24.41,26.16,26.09,24.22,9.14,25.33,25.62,26.81,26.04,19.41,21.54,21.3,18.91,25.21,23.7,24.99,4.19,26.64,24.5,25.33,-1.99,0.3,6.8,8.98,8.56,6.28,9.82,20.8,16.55,11.71,18.36,24.9,22.77,25.13,25.67,25.66,24.4,24.93,27.51,24.95,13.2
1910,23.8,27.2,26.75,22.51,24.5,25.96,26.05,24.34,9.19,25.16,25.56,26.78,25.87,18.94,21.1,20.84,18.42,25.07,23.8,25.07,3.77,26.59,24.04,25,-2.13,0.13,6.52,8.84,8.4,6.21,9.65,20.8,16.52,11.54,17.84,24.59,22.89,25.03,25.5,25.57,24.18,24.84,27.45,24.85,13.26
1911,24.14,27.45,27.12,22.4,24.91,26.43,26.52,24.74,9.5,25.59,25.92,27.06,26.34,18.84,21.04,20.76,18.29,25.27,24.17,25.56,3.74,26.92,23.99,25.02,-1.8,0.44,6.57,9.05,8.57,6.5,9.82,21.14,16.88,11.73,17.66,24.69,23.23,25.33,26.01,26.04,24.29,25.34,27.78,25.19,13.58
1912,24.29,27.45,27.32,22.54,24.93,26.58,26.84,24.74,9.51,25.76,26,27.12,26.58,19.02,21.18,20.96,18.44,25.45,24.19,25.68,3.84,27,24.17,25.18,-1.69,0.61,6.96,9.24,8.79,6.6,10,21.18,16.91,11.96,17.82,24.79,23.22,25.54,26.28,26.41,24.47,25.48,27.87,25.22,13.56
1913,23.98,27.51,27.13,22.35,24.59,26.33,26.41,24.4,9.12,25.54,25.88,27.07,26.22,18.83,20.96,20.75,18.28,25.16,23.81,25.32,3.63,26.91,23.96,24.96,-2.36,-0.09,6.44,8.73,8.29,6.1,9.54,20.74,16.47,11.48,17.74,24.52,22.87,25.23,25.89,25.93,24.18,25.16,27.77,24.89,13.21
1914,24.1,27.52,27.01,22.47,24.77,26.36,26.63,24.6,9.4,25.53,25.92,27.17,26.28,18.91,21.08,20.82,18.37,25.2,24.05,25.51,3.79,26.9,24.03,25.06,-1.84,0.45,6.98,9.16,8.73,6.5,9.96,21.09,16.79,11.94,17.79,24.71,23.08,25.28,26.02,26.15,24.31,25.31,27.75,25.11,13.44
1915,24.5,27.54,27.32,23.09,25.39,26.51,26.89,25.19,10,25.71,26.06,27.26,26.51,19.53,21.7,21.44,19,25.65,24.68,26.03,4.36,27.08,24.65,25.61,-1.28,1.07,7.6,9.86,9.43,7.16,10.69,21.81,17.5,12.6,18.41,25.22,23.65,25.65,26.2,26.34,24.79,25.66,27.93,25.62,13.99
1916,24.12,27.2,26.97,22.96,24.82,26.25,26.54,24.72,9.67,25.4,25.72,26.92,26.2,19.42,21.51,21.27,18.93,25.28,24.27,25.47,4.08,26.73,24.44,25.29,-1.58,0.69,6.95,9.35,8.89,6.77,10.14,21.4,17.12,12.05,18.42,24.88,23.28,25.24,25.97,26.09,24.43,25.16,27.6,25.15,13.59
1917,23.47,27.11,26.43,22.58,23.85,25.73,25.93,23.7,8.74,24.89,25.37,26.66,25.56,19.06,21.11,20.91,18.56,24.75,23.3,24.64,3.62,26.38,24.08,24.84,-2.25,0.07,6.65,8.81,8.37,6.09,9.6,20.66,16.3,11.59,18.05,24.28,22.26,24.66,25.36,25.53,23.89,24.38,27.22,24.26,12.61
1918,24.06,27.24,26.95,22.57,24.89,26.31,26.53,24.7,9.43,25.39,25.6,26.76,26.27,19.03,21.11,20.89,18.53,25.16,24.09,25.52,3.77,26.6,24.05,24.99,-1.99,0.25,6.5,8.95,8.48,6.36,9.73,20.96,16.72,11.61,18.01,24.68,23.16,25.25,26,26.07,24.24,25.29,27.49,25.15,13.55
1919,24.1,27.77,27.24,23.06,24.52,26.46,26.48,24.34,9.1,25.65,26.01,27.18,26.3,19.54,21.58,21.38,19.05,25.39,23.77,25.29,4.09,27.05,24.55,25.37,-2.35,-0.13,6.06,8.56,8.09,5.99,9.35,20.63,16.39,11.23,18.57,24.78,22.83,25.36,26,26.04,24.45,25.12,27.9,24.89,13.21
1920,24.28,27.31,27.4,22.96,24.78,26.53,26.69,24.5,9.15,25.72,26.02,27.13,26.53,19.42,21.55,21.3,18.9,25.68,23.83,25.49,4.18,27.11,24.51,25.49,-2.4,-0.22,5.9,8.43,7.95,5.9,9.2,20.53,16.33,11.04,18.33,25.05,22.95,25.7,26.25,26.27,24.71,25.44,28,25.26,13.39
